#رقم,مشكول,صنف,أصل,جنس,عدد
887,مَعْقُولٌ,مفعول,عَقَلَ,مذكر,مفرد
888,مُعَقَّمٌ,مفعول,عَقَّمَ,مذكر,مفرد
889,مُعَكَّرٌ,مفعول,عَكَّرَ,مذكر,مفرد
890,مَعْكُوسٌ,مفعول,عَكَسَ,مذكر,مفرد
891,مَعْلُولٌ,مفعول,عَلَّ,مذكر,مفرد
892,مَعْلُوفٌ,مفعول,عَلَفَ,مذكر,مفرد
893,مُعَلَّقٌ,مفعول,عَلَّقَ,مذكر,مفرد
894,مُعَلَّمٌ,مفعول,عَلَّمَ,مذكر,مفرد
895,مَعْلُومٌ,مفعول,عَلِمَ,مذكر,مفرد
896,مُعَلَّى,مفعول,عَلَّى,مذكر,مفرد
897,مُعَلاة,مفعول,عَلَّى,مؤنث,مفرد
898,مُعَمَّرٌ,مفعول,عَمَّرَ,مذكر,مفرد
899,مَعْمُورٌ,مفعول,عَمَرَ,مذكر,مفرد
900,مَعْمُولٌ,مفعول,عَمِلَ,مذكر,مفرد
901,مُعَمَّمٌ,مفعول,عَمَّمَ,مذكر,مفرد
902,مُعَمَّى,مفعول,عَمَّى,مذكر,مفرد
903,مُعَمّاة,مفعول,عَمَّى,مؤنث,مفرد
904,مُعَنَّفٌ,مفعول,عَنَّفَ,مذكر,مفرد
905,مُعَنَّى,مفعول,عَنَّى,مذكر,مفرد
906,مُعَنّاةٌ,مفعول,عَنَّى,مؤنث,مفرد
907,مَعْنِيٌّ,مفعول,عَنَى,مذكر,مفرد
908,مَعْهُودٌ,مفعول,عَهِدَ,مذكر,مفرد
909,مُعَوَّدٌ,مفعول,عَوَّدَ,مذكر,مفرد
910,مُعَوَّلٌ,مفعول,عَوَّلَ,مذكر,مفرد
911,مُعَيَّلٌ,مفعول,عيَّلَ,مذكر,مفرد
912,مُعَيَّنٌ,مفعول,عَيَّنَ,مذكر,مفرد
913,مُغَبَّرٌ,مفعول,غَبَّرَ,مذكر,مفرد
914,مَغْبُوطٌ,مفعول,غَبَطَ,مذكر,مفرد
915,مَغْبُونٌ,مفعول,غَبَنَ,مذكر,مفرد
916,مُغَذَّى,مفعول,غَذَّى,مذكر,مفرد
917,مُغَذّاة,مفعول,غَذَّى,مؤنث,مفرد
918,مَغْرُورٌ,مفعول,غَرَّ,مذكر,مفرد
919,مغارير,مفعول,غَرَّ,,جمع
920,مُغَرْبَلٌ,مفعول,غَرْبَلَ,مذكر,مفرد
921,مَغْسُولٌ,مفعول,غَسَلَ,مذكر,مفرد
922,مَغْشُوشٌ,مفعول,غَشَّ,مذكر,مفرد
923,مَغْشِيٌّ,مفعول,غَشِيَ,مذكر,مفرد
924,مَغْضُوبٌ,مفعول,غضِبَ,مذكر,مفرد
925,مَذْهُوبٌ,مفعول,ذَهَبَ,مذكر,مفرد
926,مَغْفُورٌ,مفعول,غَفَرَ,مذكر,مفرد
927,مُغَفَّلٌ,مفعول,غَفَّلَ,مذكر,مفرد
