#رقم,مشكول,صنف,أصل,جنس,عدد
4772,رَاغِفٌ,فاعل,رَغَفَ,مذكر,مفرد
4773,رَاغِمٌ,فاعل,رَغَمَ,مذكر,مفرد
4774,رَاغِنٌ,فاعل,رَغَنَ,مذكر,مفرد
4775,رَافِتٌ,فاعل,رَفَتَ,مذكر,مفرد
1932,رَافِدٌ,فاعل,رَفَدَ,مذكر,مفرد
1933,رَوَافِدُ,فاعل,,,جمع
6116,مُرَفِّدٌ,فاعل,رَفَّدَ,مذكر,مفرد
6117,مُرَفْرِفٌ,فاعل,رَفْرَفَ,مذكر,مفرد
4776,رَافِسٌ,فاعل,رَفَسَ,مذكر,مفرد
1934,رَافِضٌ,فاعل,رَفَضَ,مذكر,مفرد
1935,رَوَافِضٌ,فاعل,,,جمع
1936,رُفََّاضٌ,فاعل,,,جمع
1937,رَفَضَةٌ,فاعل,,,جمع
311,مُرْتَفِعٌ,فاعل,اِرْتَفَعَ,مذكر,مفرد
1009,مُتَرَفِّعٌ,فاعل,تَرَفَّعَ,مذكر,مفرد
1820,مُرَافِعٌ,فاعل,رَافَعَ,مذكر,مفرد
1938,رَافِعٌ,فاعل,رَفَعَ,مذكر,مفرد
1939,رَفَهَةٌ,فاعل,,,جمع
1940,رُفََّاعٌ,فاعل,,,جمع
1941,رَفَعَةٌ,فاعل,,,جمع
5313,مُتَرَافِعٌ,فاعل,تَرَافَعَ,مذكر,مفرد
6118,مُرَفِّعٌ,فاعل,رَفَّعَ,مذكر,مفرد
1821,مُرَافِقٌ,فاعل,رَافَقَ,مذكر,مفرد
1942,رَافِقٌ,فاعل,رَفَقَ,مذكر,مفرد
1943,رَوَافِقٌ,فاعل,,,جمع
1944,رُفََّاقٌ,فاعل,,,جمع
1945,رَفَقَةٌ,فاعل,,,جمع
5314,مُتَرَافِقٌ,فاعل,تَرَافَقَ,مذكر,مفرد
5339,مُتَرَفِّقٌ,فاعل,تَرَفَّقَ,مذكر,مفرد
6119,مُرْفِقٌ,فاعل,أَرْفَقَ,مذكر,مفرد
1946,رَافِهٌ,فاعل,رَفَهَ,مذكر,مفرد
1947,رَوَافِهٌ,فاعل,,,جمع
1948,رُفََّاهٌ,فاعل,,,جمع
5340,مُتَرَفِّهٌ,فاعل,تَرَفَّهَ,مذكر,مفرد
6120,مُرَفِّهٌ,فاعل,رَفَّهَ,مذكر,مفرد
6121,مُرْفِهٌ,فاعل,أَرْفَهَ,مذكر,مفرد
322,مُرْتَقِبٌ,فاعل,اِرْتَقَبَ,مذكر,مفرد
1824,مُرَاقِبٌ,فاعل,رَاقَبَ,مذكر,مفرد
4777,رَاقِبٌ,فاعل,رَقَبَ,مذكر,مفرد
5315,مُتَرَاقِبٌ,فاعل,تَرَاقَبَ,مذكر,مفرد
5341,مُتَرَقِّبٌ,فاعل,تَرَقَّبَ,مذكر,مفرد
1950,رَاقِدٌ,فاعل,رَقدَ,مذكر,مفرد
1951,رُقَّدٌ,فاعل,,,جمع
1952,رَوَافِدٌ,فاعل,,,جمع
1953,رُفََّادٌ,فاعل,,,جمع
1954,رَفَدَةٌ,فاعل,,,جمع
6122,مُرْقِدٌ,فاعل,أَرْقَدَ,مذكر,مفرد
1010,مُتَرَقْرِقٌ,فاعل,تَرَقْرَقَ,مذكر,مفرد
6123,مُرَقِّشٌ,فاعل,رَقَّشَ,مذكر,مفرد
1955,رَاقِصٌ,فاعل,رَقَصَ,مذكر,مفرد
1956,رَوَاقِصٌ,فاعل,,,جمع
1957,رُقََّاصٌ,فاعل,,,جمع
1958,رَقَصَةٌ,فاعل,,,جمع
1959,رُكَّعٌ,فاعل,,,جمع
1960,رُقَاةٌ,فاعل,,,جمع
1961,رَوَاقِي,فاعل,,,جمع
5316,مُتَرَاقِصٌ,فاعل,تَرَاقَصَ,مذكر,مفرد
6086,مُرَاقِصٌ,فاعل,رَاقَصَ,مذكر,مفرد
6124,مُرْقِصٌ,فاعل,أَرْقَصَ,مذكر,مفرد
37,مُرَقَّطٌ,فاعل,,مذكر,مفرد
